company_short,company,ticker,cik,accession,filing_date,period_end,fiscal_year,ai_centrality,ai_stack_role,ai_infra_subsplit,sic,sic_description,revenue_usd,revenue_tag,assets_usd,n_ai_sentences,n_other_sentences,ai_tone,other_tone,within_doc_distance,tone_flag,item1a_words,n_subsections,n_ai_subsections,ai_subsection_words,ai_word_share_subsection,ai_sentence_words,ai_word_share_sentences,ai_pos_first,ai_pos_first_norm,ai_pos_mean_norm,ai_pos_spread_norm,ai_content_concentrated,position_flag,ai_match_terms,ai_match_automat_only,specificity_numeric_per_100w,item1a_specificity_numeric_per_100w,yoy_tfidf_cosine,yoy_shingle_jaccard,yoy_prior_year,heading_method,n_headings_found,item1a_words_raw,page_noise_words_removed,url
Amazon,AMAZON COM INC,AMZN,1018724,0001018724-22-000005,2022-02-04,2021-12-31,2021,,AI Infrastructure,Hyperscaler/Platform,5961,Retail-Catalog & Mail-Order Houses,469822000000,RevenueFromContractWithCustomerExcludingAssessedTax,420549000000,1,180,-0.0179,-0.3185,0.3006,LOW_SENTENCE_COUNT,7940,34,1,421,0.05302,50,0.0063,23,0.6765,0.6765,0.0,yes,,artificial intelligence,,0.0,0.554,0.9711,0.7816,2020,html_emphasis,34,7987,47,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/amzn-20211231.htm
Amazon,AMAZON COM INC,AMZN,1018724,0001018724-23-000004,2023-02-03,2022-12-31,2022,,AI Infrastructure,Hyperscaler/Platform,5961,Retail-Catalog & Mail-Order Houses,513983000000,RevenueFromContractWithCustomerExcludingAssessedTax,462675000000,1,190,-0.0137,-0.3324,0.3186,LOW_SENTENCE_COUNT,8340,34,1,458,0.05492,52,0.00624,23,0.6765,0.6765,0.0,yes,,artificial intelligence,,0.0,0.528,0.9844,0.838,2021,html_emphasis,34,8390,50,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm
Amazon,AMAZON COM INC,AMZN,1018724,0001018724-24-000008,2024-02-02,2023-12-31,2023,,AI Infrastructure,Hyperscaler/Platform,5961,Retail-Catalog & Mail-Order Houses,574785000000,RevenueFromContractWithCustomerExcludingAssessedTax,527854000000,5,211,-0.1138,-0.302,0.1882,,9376,35,6,2642,0.28178,161,0.01717,3,0.0857,0.4048,0.6,no,,artificial intelligence|machine learning,,0.0,0.469,0.8087,0.1458,2022,html_emphasis,35,9431,55,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm
Amazon,AMAZON COM INC,AMZN,1018724,0001018724-25-000004,2025-02-07,2024-12-31,2024,,AI Infrastructure,Hyperscaler/Platform,5961,Retail-Catalog & Mail-Order Houses,637959000000,RevenueFromContractWithCustomerExcludingAssessedTax,624894000000,5,212,-0.1141,-0.2993,0.1852,,9417,35,6,2675,0.28406,168,0.01784,3,0.0857,0.4048,0.6,no,,artificial intelligence|automation|machine learning,,0.0,0.467,0.9976,0.942,2023,html_emphasis,35,9472,55,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
Amazon,AMAZON COM INC,AMZN,1018724,0001018724-26-000004,2026-02-06,2025-12-31,2025,,AI Infrastructure,Hyperscaler/Platform,5961,Retail-Catalog & Mail-Order Houses,716924000000,RevenueFromContractWithCustomerExcludingAssessedTax,818042000000,11,205,0.0339,-0.3147,0.3486,,9595,35,12,4358,0.45419,425,0.04429,3,0.0857,0.4167,0.6857,no,,artificial intelligence|automation|machine learning,,0.0,0.459,0.9699,0.5852,2024,html_emphasis,35,9650,55,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm
Amex,AMERICAN EXPRESS CO,AXP,4962,0000004962-20-000030,2020-02-13,2019-12-31,2019,AI-peripheral,,,6199,Finance Services,28159000000,RevenueFromContractWithCustomerExcludingAssessedTax,198321000000,2,389,0.2007,-0.3726,0.5733,LOW_SENTENCE_COUNT,14302,70,2,897,0.06272,102,0.00713,23,0.3286,0.3357,0.0143,yes,,artificial intelligence|machine learning,,0.111,1.811,,,,html_emphasis,70,14368,66,https://www.sec.gov/Archives/edgar/data/4962/000000496220000030/axp-20191231.htm
Amex,AMERICAN EXPRESS CO,AXP,4962,0000004962-21-000013,2021-02-12,2020-12-31,2020,AI-peripheral,,,6199,Finance Services,21974000000,RevenueFromContractWithCustomerExcludingAssessedTax,191367000000,3,402,-0.136,-0.3745,0.2386,LOW_SENTENCE_COUNT,14902,66,2,906,0.0608,132,0.00886,22,0.3333,0.3409,0.0152,yes,,artificial intelligence|machine learning,,0.11,1.671,0.9594,0.7351,2019,html_emphasis,66,14965,63,https://www.sec.gov/Archives/edgar/data/4962/000000496221000013/axp-20201231.htm
Amex,AMERICAN EXPRESS CO,AXP,4962,0000004962-22-000008,2022-02-11,2021-12-31,2021,AI-peripheral,,,6199,Finance Services,27716000000,RevenueFromContractWithCustomerExcludingAssessedTax,188548000000,2,382,-0.3065,-0.3681,0.0616,LOW_SENTENCE_COUNT,14840,58,3,1079,0.07271,75,0.00505,19,0.3276,0.3448,0.0345,yes,,artificial intelligence|automated|machine learning,,0.0,0.916,0.9608,0.654,2020,html_emphasis,58,14846,6,https://www.sec.gov/Archives/edgar/data/4962/000000496222000008/axp-20211231.htm
Amex,AMERICAN EXPRESS CO,AXP,4962,0000004962-23-000006,2023-02-10,2022-12-31,2022,AI-peripheral,,,6199,Finance Services,34219000000,RevenueFromContractWithCustomerExcludingAssessedTax,228354000000,3,389,-0.1172,-0.3524,0.2352,LOW_SENTENCE_COUNT,15254,56,2,883,0.05789,134,0.00878,19,0.3393,0.3482,0.0179,yes,,artificial intelligence|machine learning,,0.0,0.846,0.9484,0.4896,2021,html_emphasis,56,15314,60,https://www.sec.gov/Archives/edgar/data/4962/000000496223000006/axp-20221231.htm
Amex,AMERICAN EXPRESS CO,AXP,4962,0000004962-24-000013,2024-02-09,2023-12-31,2023,AI-peripheral,,,6199,Finance Services,37218000000,RevenueFromContractWithCustomerExcludingAssessedTax,261108000000,10,411,-0.146,-0.3288,0.1828,,17091,63,5,3106,0.18173,451,0.02639,17,0.2698,0.3587,0.1905,no,,artificial intelligence|automated|machine learning,,0.0,0.731,0.8962,0.2381,2022,html_emphasis,63,17159,68,https://www.sec.gov/Archives/edgar/data/4962/000000496224000013/axp-20231231.htm
Amex,AMERICAN EXPRESS CO,AXP,4962,0000004962-25-000016,2025-02-07,2024-12-31,2024,AI-peripheral,,,6199,Finance Services,38825000000,RevenueFromContractWithCustomerExcludingAssessedTax,271461000000,14,407,-0.1849,-0.3386,0.1538,,17334,62,8,3766,0.21726,627,0.03617,16,0.2581,0.4153,0.3065,no,,artificial intelligence|automated|automation|machine learning,,0.0,0.681,0.9847,0.6054,2023,html_emphasis,62,17402,68,https://www.sec.gov/Archives/edgar/data/4962/000000496225000016/axp-20241231.htm
Amex,AMERICAN EXPRESS CO,AXP,4962,0000004962-26-000080,2026-02-06,2025-12-31,2025,AI-peripheral,,,6199,Finance Services,41304000000,RevenueFromContractWithCustomerExcludingAssessedTax,300052000000,23,413,-0.2869,-0.3346,0.0477,,18665,62,12,6293,0.33716,931,0.04988,7,0.1129,0.3495,0.3871,no,,ai|automated|automation|generative ai,,0.0,0.621,0.953,0.4254,2024,html_emphasis,62,18673,8,https://www.sec.gov/Archives/edgar/data/4962/000000496226000080/axp-20251231.htm
